OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
04ba5b13-5e1f-427e-b815-e9a11bb4fc32,1,85,"Road-250 Red, 44",2,2443.35,4820.83,65.87,241.04
04ba5b13-5e1f-427e-b815-e9a11bb4fc32,2,47,"Road-150 Red, 48",2,3578.27,6874.44,282.1,343.72
04ba5b13-5e1f-427e-b815-e9a11bb4fc32,3,211,ML Touring Seat/Saddle,5,39.14,192.37,3.33,9.62
04ba5b13-5e1f-427e-b815-e9a11bb4fc32,4,33,"LL Road Frame - Black, 48",4,337.22,1340.25,8.63,67.01
04ba5b13-5e1f-427e-b815-e9a11bb4fc32,5,133,"HL Road Frame - Black, 62",2,1431.5,2673.41,189.59,133.67
1c2b5134-22ac-4687-adc5-40085b14ea3d,1,15,"HL Road Frame - Red, 48",5,1431.5,6982.66,174.84,349.13
1c2b5134-22ac-4687-adc5-40085b14ea3d,2,78,"Mountain-200 Black, 38",1,2294.99,2280.13,14.86,114.01
db62284c-5683-459f-9a16-875195badf86,1,211,ML Touring Seat/Saddle,2,39.14,76.63,1.65,3.83
db62284c-5683-459f-9a16-875195badf86,2,117,Touring Front Wheel,1,218.01,215.26,2.75,10.76
ab283b1a-4690-4069-b114-53e2ca419c4d,1,175,All-Purpose Bike Stand,2,159.0,315.98,2.02,15.8
ab283b1a-4690-4069-b114-53e2ca419c4d,2,11,"Long-Sleeve Logo Jersey, L",2,49.99,95.88,4.1,4.79
ab283b1a-4690-4069-b114-53e2ca419c4d,3,244,Front Brakes,3,106.5,313.85,5.65,15.69
7c15cda5-a37d-4058-bfee-2646919407ae,1,57,"Road-650 Red, 62",5,782.99,3884.15,30.8,194.21
7c15cda5-a37d-4058-bfee-2646919407ae,2,55,"Road-650 Red, 58",4,782.99,3107.46,24.5,155.37
7c15cda5-a37d-4058-bfee-2646919407ae,3,200,"ML Mountain Frame-W - Silver, 40",1,364.09,325.18,38.91,16.26
7c15cda5-a37d-4058-bfee-2646919407ae,4,43,"HL Mountain Frame - Black, 38",5,1349.6,6600.37,147.63,330.02
564fb9fe-bef8-48bd-92c5-889866ee235e,1,61,"Road-650 Black, 58",3,782.99,2294.16,54.81,114.71
a73a6ee8-22d5-46f1-a483-05c19374cdc7,1,37,"HL Mountain Frame - Silver, 48",5,1364.5,6759.0,63.5,337.95
a73a6ee8-22d5-46f1-a483-05c19374cdc7,2,168,Road Bottle Cage,4,8.99,35.56,0.4,1.78
d5894d7d-8965-4c67-93db-4bf80f9cf185,1,206,HL Mountain Seat/Saddle,2,52.64,101.52,3.76,5.08
d5894d7d-8965-4c67-93db-4bf80f9cf185,2,76,"Mountain-200 Silver, 42",5,2319.99,11430.6,169.35,571.53
d5894d7d-8965-4c67-93db-4bf80f9cf185,3,10,"Long-Sleeve Logo Jersey, M",4,49.99,199.12,0.84,9.96
d5894d7d-8965-4c67-93db-4bf80f9cf185,4,209,HL Road Seat/Saddle,4,52.64,206.41,4.15,10.32
36e6e63a-d2d8-453a-a653-f261bdc6af33,1,222,"LL Mountain Frame - Black, 48",3,249.79,748.59,0.78,37.43
aad61666-5829-47dd-858f-c9026f4669ef,1,190,Rear Derailleur,2,121.46,230.92,12.0,11.55
aad61666-5829-47dd-858f-c9026f4669ef,2,249,"Touring-2000 Blue, 60",1,1214.85,1098.03,116.82,54.9
aad61666-5829-47dd-858f-c9026f4669ef,3,192,"LL Touring Frame - Blue, 54",2,333.42,633.85,32.99,31.69
aad61666-5829-47dd-858f-c9026f4669ef,4,151,"Men's Bib-Shorts, S",1,89.99,78.89,11.1,3.94
db0b55eb-fd62-4273-9eb7-8eb0123f1bb3,1,144,Headlights - Weatherproof,1,44.99,42.99,2.0,2.15
db0b55eb-fd62-4273-9eb7-8eb0123f1bb3,2,105,ML Mountain Handlebars,2,61.92,122.61,1.23,6.13
db0b55eb-fd62-4273-9eb7-8eb0123f1bb3,3,179,"Short-Sleeve Classic Jersey, L",3,53.99,159.36,2.61,7.97
db0b55eb-fd62-4273-9eb7-8eb0123f1bb3,4,193,"LL Touring Frame - Blue, 58",3,333.42,951.06,49.2,47.55
52b71473-f7a2-46c3-aa8a-b98eaff387bc,1,170,"Racing Socks, M",2,8.99,17.07,0.91,0.85
52b71473-f7a2-46c3-aa8a-b98eaff387bc,2,47,"Road-150 Red, 48",4,3578.27,14170.69,142.39,708.53
52b71473-f7a2-46c3-aa8a-b98eaff387bc,3,15,"HL Road Frame - Red, 48",3,1431.5,4181.3,113.2,209.07
52b71473-f7a2-46c3-aa8a-b98eaff387bc,4,217,Mountain Tire Tube,3,4.99,14.88,0.09,0.74
4ab86579-c706-4672-90fd-281439c94fac,1,109,HL Road Handlebars,3,120.27,345.29,15.52,17.26
4ab86579-c706-4672-90fd-281439c94fac,2,172,Hitch Rack - 4-Bike,4,120.0,465.76,14.24,23.29
4ab86579-c706-4672-90fd-281439c94fac,3,146,"Men's Sports Shorts, L",3,59.99,176.38,3.59,8.82
4ab86579-c706-4672-90fd-281439c94fac,4,25,"LL Road Frame - Red, 60",3,337.22,992.47,19.19,49.62
9b1823c5-7778-4f6b-b0c1-387629326a7e,1,109,HL Road Handlebars,3,120.27,354.21,6.6,17.71
9b1823c5-7778-4f6b-b0c1-387629326a7e,2,64,"Road-650 Black, 44",1,782.99,724.66,58.33,36.23
9b1823c5-7778-4f6b-b0c1-387629326a7e,3,234,LL Road Pedal,3,40.49,120.73,0.74,6.04
9b1823c5-7778-4f6b-b0c1-387629326a7e,4,285,"Mountain-500 Black, 40",4,539.99,2144.96,15.0,107.25
1358f99d-5439-4609-9d22-61b7507b6a97,1,309,MountainDream Sleeping Bag,2,130.0,242.92,17.08,12.15
1358f99d-5439-4609-9d22-61b7507b6a97,2,201,"ML Mountain Frame-W - Silver, 42",4,364.09,1421.17,35.19,71.06
1358f99d-5439-4609-9d22-61b7507b6a97,3,91,"Road-250 Black, 52",3,2443.35,7042.37,287.68,352.12
1358f99d-5439-4609-9d22-61b7507b6a97,4,101,LL Headset,1,34.2,29.15,5.05,1.46
1358f99d-5439-4609-9d22-61b7507b6a97,5,203,Rear Brakes,4,106.5,423.18,2.82,21.16
995ab9c4-8162-4da6-afa1-519b3d389c13,1,311,TrailLite Daypack,3,60.0,177.16,2.84,8.86
995ab9c4-8162-4da6-afa1-519b3d389c13,2,86,"Road-250 Red, 48",2,2443.35,4720.33,166.37,236.02
30555500-cf4d-4d1e-a01e-4780c8618771,1,265,"Touring-1000 Blue, 60",3,2384.07,6927.76,224.45,346.39
30555500-cf4d-4d1e-a01e-4780c8618771,2,198,"LL Touring Frame - Yellow, 58",2,333.42,650.02,16.82,32.5
30555500-cf4d-4d1e-a01e-4780c8618771,3,267,"Touring-2000 Blue, 50",1,1214.85,1038.2,176.65,51.91
e34ffba4-abf2-48dc-a186-81e85d2d607d,1,135,"HL Road Frame - Black, 48",4,1431.5,5677.69,48.31,283.88
e34ffba4-abf2-48dc-a186-81e85d2d607d,2,202,"ML Mountain Frame-W - Silver, 46",5,364.09,1810.5,9.95,90.53
ca714c08-e8e3-448f-b640-99566c7b59c2,1,53,"Road-450 Red, 48",4,1457.99,5790.09,41.87,289.5
ca714c08-e8e3-448f-b640-99566c7b59c2,2,230,Touring Tire,1,28.99,28.81,0.18,1.44
126574e9-0dc6-4be1-9c21-8371dd07b67b,1,159,"Full-Finger Gloves, L",2,37.99,75.1,0.88,3.75
126574e9-0dc6-4be1-9c21-8371dd07b67b,2,128,"ML Mountain Frame - Black, 48",1,348.76,298.63,50.13,14.93
b218fa8f-5d37-4a46-8876-2b6768922ab9,1,169,Patch Kit/8 Patches,3,2.29,6.69,0.18,0.33
b218fa8f-5d37-4a46-8876-2b6768922ab9,2,114,LL Road Front Wheel,3,85.565,252.16,4.54,12.61
b218fa8f-5d37-4a46-8876-2b6768922ab9,3,48,"Road-150 Red, 52",4,3578.27,13785.47,527.61,689.27
1bbaf494-a688-49da-adab-0f7a163d536a,1,183,"HL Touring Frame - Yellow, 46",2,1003.91,1997.98,9.84,99.9
1bbaf494-a688-49da-adab-0f7a163d536a,2,159,"Full-Finger Gloves, L",4,37.99,147.3,4.66,7.37
17af6d59-d2ea-465b-b08d-3b30e0655530,1,102,ML Headset,1,102.29,97.72,4.57,4.89
17af6d59-d2ea-465b-b08d-3b30e0655530,2,7,"Sport-100 Helmet, Blue",5,34.99,170.86,4.09,8.54
17af6d59-d2ea-465b-b08d-3b30e0655530,3,69,"Mountain-100 Silver, 44",5,3399.99,16511.6,488.35,825.58
17af6d59-d2ea-465b-b08d-3b30e0655530,4,274,"Touring-3000 Blue, 44",4,742.35,2918.72,50.68,145.94
e0ca3fbd-ae4d-4bf6-b2e5-5e37d66902ba,1,234,LL Road Pedal,3,40.49,119.47,2.0,5.97
44367098-3af2-429b-84e6-06bb002cd518,1,32,"LL Road Frame - Black, 44",1,337.22,336.84,0.38,16.84
44367098-3af2-429b-84e6-06bb002cd518,2,184,"HL Touring Frame - Yellow, 50",5,1003.91,4965.49,54.06,248.27
44367098-3af2-429b-84e6-06bb002cd518,3,203,Rear Brakes,4,106.5,418.59,7.41,20.93
44367098-3af2-429b-84e6-06bb002cd518,4,22,"LL Road Frame - Red, 48",5,337.22,1674.01,12.09,83.7
207f95f0-335b-4137-9daf-abcf832ff7b0,1,207,LL Road Seat/Saddle,4,27.12,108.16,0.32,5.41
2bd5f85e-aab5-4b00-90fb-6e4b01d99a13,1,283,"Mountain-500 Silver, 48",2,564.99,1119.64,10.34,55.98
2bd5f85e-aab5-4b00-90fb-6e4b01d99a13,2,107,LL Road Handlebars,2,44.54,85.25,3.83,4.26
